"Notes"	"Year"	"Year Code"	"State"	"State Code"	Count	Percent of Total	Rate	Population	Completion of Therapy Within One Year	Eligible for Completion of Therapy Within One Year	Percent of Completion of Therapy Within One Year Among Those Eligible	Culture-Confirmed Cases	Percentage Tested for Drug Susceptibility to Isoniazid	Percentage Tested for Drug Susceptibility to Isoniazid & Rifampin
	"2013"	"2013"	"Louisiana"	"22"	139	0.04%	3.01	4625470	Not Applicable	Not Applicable	Not Applicable	117	78.63%	78.63%
	"2013"	"2013"	"Maine"	"23"	15	0.00%	1.13	1328302	Not Applicable	Not Applicable	Not Applicable	8	100.00%	100.00%
	"2013"	"2013"	"Maryland"	"24"	176	0.05%	2.97	5928814	Not Applicable	Not Applicable	Not Applicable	123	100.00%	100.00%
	"2013"	"2013"	"Massachusetts"	"25"	201	0.06%	3.00	6692824	Not Applicable	Not Applicable	Not Applicable	153	97.39%	97.39%
	"2013"	"2013"	"Michigan"	"26"	141	0.04%	1.42	9895622	Not Applicable	Not Applicable	Not Applicable	98	95.92%	95.92%
	"2013"	"2013"	"Minnesota"	"27"	151	0.05%	2.79	5420380	Not Applicable	Not Applicable	Not Applicable	116	97.41%	97.41%
	"2013"	"2013"	"Mississippi"	"28"	65	0.02%	2.17	2991207	Not Applicable	Not Applicable	Not Applicable	49	95.92%	95.92%
	"2013"	"2013"	"Missouri"	"29"	104	0.03%	1.72	6044171	Not Applicable	Not Applicable	Not Applicable	72	100.00%	100.00%
	"2013"	"2013"	"Montana"	"30"	6	0.00%	0.59	1015165	Not Applicable	Not Applicable	Not Applicable	6	100.00%	100.00%
	"2013"	"2013"	"Nebraska"	"31"	21	0.01%	1.12	1868516	Not Applicable	Not Applicable	Not Applicable	14	100.00%	100.00%
	"2013"	"2013"	"Nevada"	"32"	92	0.03%	3.30	2790136	Not Applicable	Not Applicable	Not Applicable	63	93.65%	95.24%
	"2013"	"2013"	"New Hampshire"	"33"	15	0.00%	1.13	1323459	Not Applicable	Not Applicable	Not Applicable	15	93.33%	100.00%
	"2013"	"2013"	"New Jersey"	"34"	319	0.10%	3.58	8899339	Not Applicable	Not Applicable	Not Applicable	256	98.83%	98.83%
	"2013"	"2013"	"New Mexico"	"35"	50	0.02%	2.40	2085287	Not Applicable	Not Applicable	Not Applicable	39	100.00%	100.00%
	"2013"	"2013"	"New York"	"36"	872	0.26%	4.44	19651127	Not Applicable	Not Applicable	Not Applicable	629	96.98%	96.98%
	"2013"	"2013"	"North Carolina"	"37"	216	0.07%	2.19	9848060	Not Applicable	Not Applicable	Not Applicable	164	98.17%	98.17%
	"2013"	"2013"	"North Dakota"	"38"	12	0.00%	1.66	723393	Not Applicable	Not Applicable	Not Applicable	6	0.00%	0.00%
	"2013"	"2013"	"Ohio"	"39"	148	0.04%	1.28	11570808	Not Applicable	Not Applicable	Not Applicable	119	100.00%	100.00%
	"2013"	"2013"	"Oklahoma"	"40"	69	0.02%	1.79	3850568	Not Applicable	Not Applicable	Not Applicable	49	89.80%	89.80%
	"2013"	"2013"	"Oregon"	"41"	73	0.02%	1.86	3930065	Not Applicable	Not Applicable	Not Applicable	55	100.00%	100.00%
	"2013"	"2013"	"Pennsylvania"	"42"	214	0.06%	1.68	12773801	Not Applicable	Not Applicable	Not Applicable	168	93.45%	93.45%
	"2013"	"2013"	"Rhode Island"	"44"	27	0.01%	2.57	1051511	Not Applicable	Not Applicable	Not Applicable	13	100.00%	100.00%
	"2013"	"2013"	"South Carolina"	"45"	112	0.03%	2.35	4774839	Not Applicable	Not Applicable	Not Applicable	79	96.20%	96.20%
	"2013"	"2013"	"South Dakota"	"46"	9	0.00%	1.07	844877	Not Applicable	Not Applicable	Not Applicable	6	83.33%	83.33%
	"2013"	"2013"	"Tennessee"	"47"	142	0.04%	2.19	6495978	Not Applicable	Not Applicable	Not Applicable	102	97.06%	97.06%
	"2013"	"2013"	"Texas"	"48"	1222	0.37%	4.62	26448193	Not Applicable	Not Applicable	Not Applicable	921	97.07%	97.07%
	"2013"	"2013"	"Utah"	"49"	33	0.01%	1.14	2900872	Not Applicable	Not Applicable	Not Applicable	24	100.00%	100.00%
	"2013"	"2013"	"Vermont"	"50"	5	0.00%	0.80	626630	Not Applicable	Not Applicable	Not Applicable	3	100.00%	100.00%
	"2013"	"2013"	"Virginia"	"51"	180	0.05%	2.18	8260405	Not Applicable	Not Applicable	Not Applicable	139	97.12%	97.12%
	"2013"	"2013"	"Washington"	"53"	210	0.06%	3.01	6971406	Not Applicable	Not Applicable	Not Applicable	177	98.31%	98.31%
	"2013"	"2013"	"West Virginia"	"54"	13	0.00%	0.70	1854304	Not Applicable	Not Applicable	Not Applicable	12	100.00%	100.00%
	"2013"	"2013"	"Wisconsin"	"55"	50	0.02%	0.87	5742713	Not Applicable	Not Applicable	Not Applicable	44	100.00%	100.00%
"Total"	"2013"	"2013"			9582	2.89%	3.03	316128839	Not Applicable	Not Applicable	Not Applicable	7358	96.60%	96.68%
	"2012"	"2012"	"Alabama"	"01"	134	0.04%	2.78	4817528	Not Applicable	Not Applicable	Not Applicable	108	100.00%	100.00%
	"2012"	"2012"	"Alaska"	"02"	66	0.02%	9.04	730307	Not Applicable	Not Applicable	Not Applicable	52	100.00%	100.00%
	"2012"	"2012"	"Arizona"	"04"	211	0.06%	3.22	6551149	Not Applicable	Not Applicable	Not Applicable	167	100.00%	100.00%
	"2012"	"2012"	"Arkansas"	"05"	70	0.02%	2.37	2949828	Not Applicable	Not Applicable	Not Applicable	36	100.00%	100.00%
	"2012"	"2012"	"California"	"06"	2189	0.66%	5.76	37999878	Not Applicable	Not Applicable	Not Applicable	1746	98.40%	98.51%
	"2012"	"2012"	"Colorado"	"08"	64	0.02%	1.23	5189458	Not Applicable	Not Applicable	Not Applicable	47	100.00%	100.00%
	"2012"	"2012"	"Connecticut"	"09"	74	0.02%	2.06	3591765	Not Applicable	Not Applicable	Not Applicable	55	98.18%	98.18%
	"2012"	"2012"	"Delaware"	"10"	28	0.01%	3.05	917053	Not Applicable	Not Applicable	Not Applicable	18	100.00%	100.00%
	"2012"	"2012"	"District of Columbia"	"11"	37	0.01%	5.84	633427	Not Applicable	Not Applicable	Not Applicable	28	96.43%	96.43%
	"2012"	"2012"	"Florida"	"12"	678	0.20%	3.51	19320749	Not Applicable	Not Applicable	Not Applicable	541	95.56%	95.56%
	"2012"	"2012"	"Georgia"	"13"	357	0.11%	3.60	9915646	Not Applicable	Not Applicable	Not Applicable	249	99.20%	99.20%
	"2012"	"2012"	"Hawaii"	"15"	117	0.04%	8.42	1390090	Not Applicable	Not Applicable	Not Applicable	89	98.88%	98.88%
	"2012"	"2012"	"Idaho"	"16"	15	0.00%	0.94	1595590	Not Applicable	Not Applicable	Not Applicable	10	100.00%	100.00%
	"2012"	"2012"	"Illinois"	"17"	347	0.10%	2.70	12868192	Not Applicable	Not Applicable	Not Applicable	246	96.75%	97.15%
	"2012"	"2012"	"Indiana"	"18"	102	0.03%	1.56	6537782	Not Applicable	Not Applicable	Not Applicable	78	100.00%	100.00%
	"2012"	"2012"	"Iowa"	"19"	46	0.01%	1.50	3075039	Not Applicable	Not Applicable	Not Applicable	33	100.00%	100.00%
	"2012"	"2012"	"Kansas"	"20"	42	0.01%	1.46	2885398	Not Applicable	Not Applicable	Not Applicable	40	100.00%	100.00%
	"2012"	"2012"	"Kentucky"	"21"	78	0.02%	1.78	4379730	Not Applicable	Not Applicable	Not Applicable	60	100.00%	100.00%
	"2012"	"2012"	"Louisiana"	"22"	148	0.04%	3.22	4602134	Not Applicable	Not Applicable	Not Applicable	123	87.80%	87.80%
	"2012"	"2012"	"Maine"	"23"	17	0.01%	1.28	1328501	Not Applicable	Not Applicable	Not Applicable	14	100.00%	100.00%
	"2012"	"2012"	"Maryland"	"24"	224	0.07%	3.81	5884868	Not Applicable	Not Applicable	Not Applicable	161	100.00%	100.00%
	"2012"	"2012"	"Massachusetts"	"25"	216	0.07%	3.25	6645303	Not Applicable	Not Applicable	Not Applicable	154	98.70%	98.70%
	"2012"	"2012"	"Michigan"	"26"	149	0.04%	1.51	9882519	Not Applicable	Not Applicable	Not Applicable	103	98.06%	98.06%
	"2012"	"2012"	"Minnesota"	"27"	162	0.05%	3.01	5379646	Not Applicable	Not Applicable	Not Applicable	124	100.00%	100.00%
	"2012"	"2012"	"Mississippi"	"28"	81	0.02%	2.71	2986450	Not Applicable	Not Applicable	Not Applicable	66	98.48%	98.48%
	"2012"	"2012"	"Missouri"	"29"	89	0.03%	1.48	6024522	Not Applicable	Not Applicable	Not Applicable	68	98.53%	98.53%
	"2012"	"2012"	"Montana"	"30"	5	0.00%	0.50	1005494	Not Applicable	Not Applicable	Not Applicable	4	100.00%	100.00%
	"2012"	"2012"	"Nebraska"	"31"	22	0.01%	1.19	1855350	Not Applicable	Not Applicable	Not Applicable	14	100.00%	100.00%
	"2012"	"2012"	"Nevada"	"32"	84	0.03%	3.05	2754354	Not Applicable	Not Applicable	Not Applicable	61	91.80%	91.80%
	"2012"	"2012"	"New Hampshire"	"33"	9	0.00%	0.68	1321617	Not Applicable	Not Applicable	Not Applicable	8	75.00%	75.00%
	"2012"	"2012"	"New Jersey"	"34"	302	0.09%	3.41	8867749	Not Applicable	Not Applicable	Not Applicable	227	100.00%	100.00%
	"2012"	"2012"	"New Mexico"	"35"	40	0.01%	1.92	2083540	Not Applicable	Not Applicable	Not Applicable	38	100.00%	100.00%
	"2012"	"2012"	"New York"	"36"	864	0.26%	4.41	19576125	Not Applicable	Not Applicable	Not Applicable	653	98.16%	98.16%
	"2012"	"2012"	"North Carolina"	"37"	211	0.06%	2.16	9748364	Not Applicable	Not Applicable	Not Applicable	170	99.41%	99.41%
	"2012"	"2012"	"North Dakota"	"38"	26	0.01%	3.71	701345	Not Applicable	Not Applicable	Not Applicable	14	0.00%	0.00%
	"2012"	"2012"	"Ohio"	"39"	149	0.04%	1.29	11553031	Not Applicable	Not Applicable	Not Applicable	106	94.34%	94.34%
	"2012"	"2012"	"Oklahoma"	"40"	88	0.03%	2.31	3815780	Not Applicable	Not Applicable	Not Applicable	69	95.65%	95.65%
	"2012"	"2012"	"Oregon"	"41"	61	0.02%	1.56	3899801	Not Applicable	Not Applicable	Not Applicable	49	100.00%	100.00%
	"2012"	"2012"	"Pennsylvania"	"42"	234	0.07%	1.83	12764475	Not Applicable	Not Applicable	Not Applicable	188	95.74%	95.74%
	"2012"	"2012"	"Rhode Island"	"44"	23	0.01%	2.19	1050304	Not Applicable	Not Applicable	Not Applicable	19	100.00%	100.00%
	"2012"	"2012"	"South Carolina"	"45"	122	0.04%	2.58	4723417	Not Applicable	Not Applicable	Not Applicable	84	94.05%	94.05%
	"2012"	"2012"	"South Dakota"	"46"	19	0.01%	2.28	834047	Not Applicable	Not Applicable	Not Applicable	14	100.00%	100.00%
	"2012"	"2012"	"Tennessee"	"47"	163	0.05%	2.53	6454914	Not Applicable	Not Applicable	Not Applicable	113	100.00%	100.00%
	"2012"	"2012"	"Texas"	"48"	1234	0.37%	4.74	26060796	Not Applicable	Not Applicable	Not Applicable	933	97.11%	97.43%
	"2012"	"2012"	"Utah"	"49"	37	0.01%	1.30	2854871	Not Applicable	Not Applicable	Not Applicable	28	100.00%	100.00%
	"2012"	"2012"	"Vermont"	"50"	4	0.00%	0.64	625953	Not Applicable	Not Applicable	Not Applicable	3	100.00%	100.00%
	"2012"	"2012"	"Virginia"	"51"	235	0.07%	2.87	8186628	Not Applicable	Not Applicable	Not Applicable	174	98.85%	98.85%
	"2012"	"2012"	"Washington"	"53"	185	0.06%	2.68	6895318	Not Applicable	Not Applicable	Not Applicable	164	98.17%	98.17%
	"2012"	"2012"	"West Virginia"	"54"	8	0.00%	0.43	1856680	Not Applicable	Not Applicable	Not Applicable	7	85.71%	85.71%
	"2012"	"2012"	"Wisconsin"	"55"	71	0.02%	1.24	5724554	Not Applicable	Not Applicable	Not Applicable	56	100.00%	100.00%
	"2012"	"2012"	"Wyoming"	"56"	3	0.00%	0.52	576626	Not Applicable	Not Applicable	Not Applicable	3	100.00%	100.00%
"Total"	"2012"	"2012"			9940	2.99%	3.17	313873685	Not Applicable	Not Applicable	Not Applicable	7615	97.70%	97.78%
	"2011"	"2011"	"Alabama"	"01"	161	0.05%	3.35	4801627	129	138	93.48%	119	100.00%	100.00%
	"2011"	"2011"	"Alaska"	"02"	67	0.02%	9.26	723375	32	53	60.38%	60	98.33%	98.33%
	"2011"	"2011"	"Arizona"	"04"	255	0.08%	3.94	6468796	145	166	87.35%	192	98.96%	98.96%
	"2011"	"2011"	"Arkansas"	"05"	85	0.03%	2.89	2938506	56	67	83.58%	60	98.33%	98.33%
	"2011"	"2011"	"California"	"06"	2323	0.70%	6.17	37668681	1638	1876	87.31%	1855	98.27%	98.27%
	"2011"	"2011"	"Colorado"	"08"	70	0.02%	1.37	5118400	57	59	96.61%	52	100.00%	100.00%
	"2011"	"2011"	"Connecticut"	"09"	83	0.02%	2.31	3588948	64	68	94.12%	69	98.55%	98.55%
	"2011"	"2011"	"Delaware"	"10"	21	0.01%	2.31	907985	16	17	94.12%	19	100.00%	100.00%
	"2011"	"2011"	"District of Columbia"	"11"	55	0.02%	8.88	619624	38	47	80.85%	46	100.00%	100.00%
	"2011"	"2011"	"Florida"	"12"	754	0.23%	3.95	19083482	564	607	92.92%	604	95.20%	95.70%
	"2011"	"2011"	"Georgia"	"13"	347	0.10%	3.54	9810181	248	277	89.53%	240	98.75%	98.75%
	"2011"	"2011"	"Hawaii"	"15"	123	0.04%	8.93	1376897	99	110	90.00%	76	98.68%	98.68%
	"2011"	"2011"	"Idaho"	"16"	12	0.00%	0.76	1583930	9	11	81.82%	10	100.00%	100.00%
	"2011"	"2011"	"Illinois"	"17"	358	0.11%	2.78	12855970	256	280	91.43%	274	95.99%	96.35%
	"2011"	"2011"	"Indiana"	"18"	100	0.03%	1.53	6516336	78	87	89.66%	74	98.65%	98.65%
	"2011"	"2011"	"Iowa"	"19"	40	0.01%	1.31	3064102	28	33	84.85%	31	100.00%	100.00%
	"2011"	"2011"	"Kansas"	"20"	36	0.01%	1.25	2869548	24	27	88.89%	36	100.00%	100.00%
	"2011"	"2011"	"Kentucky"	"21"	70	0.02%	1.60	4366869	46	56	82.14%	52	100.00%	100.00%
	"2011"	"2011"	"Louisiana"	"22"	167	0.05%	3.65	4575197	116	140	82.86%	137	95.62%	95.62%
	"2011"	"2011"	"Maine"	"23"	9	0.00%	0.68	1327844	5	8	62.50%	8	100.00%	100.00%
	"2011"	"2011"	"Maryland"	"24"	232	0.07%	3.97	5840241	184	194	94.85%	166	99.40%	99.40%
	"2011"	"2011"	"Massachusetts"	"25"	195	0.06%	2.95	6606285	130	155	83.87%	143	95.80%	95.80%
	"2011"	"2011"	"Michigan"	"26"	170	0.05%	1.72	9874589	125	140	89.29%	123	100.00%	100.00%
	"2011"	"2011"	"Minnesota"	"27"	137	0.04%	2.56	5347108	96	101	95.05%	101	100.00%	100.00%
	"2011"	"2011"	"Mississippi"	"28"	91	0.03%	3.06	2977886	67	73	91.78%	66	100.00%	100.00%
	"2011"	"2011"	"Missouri"	"29"	97	0.03%	1.61	6010065	74	81	91.36%	73	95.89%	95.89%
	"2011"	"2011"	"Montana"	"30"	8	0.00%	0.80	997600	7	7	100.00%	5	100.00%	100.00%
	"2011"	"2011"	"Nebraska"	"31"	23	0.01%	1.25	1841749	17	20	85.00%	18	100.00%	100.00%
	"2011"	"2011"	"Nevada"	"32"	96	0.03%	3.53	2717951	64	82	78.05%	65	100.00%	100.00%
	"2011"	"2011"	"New Hampshire"	"33"	11	0.00%	0.83	1318075	10	10	100.00%	10	100.00%	100.00%
	"2011"	"2011"	"New Jersey"	"34"	331	0.10%	3.75	8836639	227	253	89.72%	267	98.88%	98.88%
	"2011"	"2011"	"New Mexico"	"35"	49	0.01%	2.36	2077919	35	38	92.11%	43	100.00%	100.00%
	"2011"	"2011"	"New York"	"36"	905	0.27%	4.64	19502728	696	753	92.43%	667	97.90%	98.05%
	"2011"	"2011"	"North Carolina"	"37"	244	0.07%	2.53	9651377	191	200	95.50%	183	95.63%	97.81%
	"2011"	"2011"	"North Dakota"	"38"	7	0.00%	1.02	684867	3	5	60.00%	4	0.00%	0.00%
	"2011"	"2011"	"Ohio"	"39"	145	0.04%	1.26	11549772	104	118	88.14%	112	99.11%	99.11%
	"2011"	"2011"	"Oklahoma"	"40"	94	0.03%	2.48	3785534	66	72	91.67%	68	98.53%	98.53%
	"2011"	"2011"	"Oregon"	"41"	74	0.02%	1.91	3867937	57	64	89.06%	59	100.00%	100.00%
	"2011"	"2011"	"Pennsylvania"	"42"	260	0.08%	2.04	12741310	172	202	85.15%	200	98.50%	98.50%
	"2011"	"2011"	"Rhode Island"	"44"	27	0.01%	2.57	1050350	20	25	80.00%	20	100.00%	100.00%
	"2011"	"2011"	"South Carolina"	"45"	140	0.04%	3.00	4673509	108	113	95.58%	107	94.39%	94.39%
	"2011"	"2011"	"South Dakota"	"46"	15	0.00%	1.82	823772	10	12	83.33%	6	100.00%	100.00%
	"2011"	"2011"	"Tennessee"	"47"	156	0.05%	2.44	6398361	123	131	93.89%	109	98.17%	98.17%
	"2011"	"2011"	"Texas"	"48"	1317	0.40%	5.14	25640909	936	1070	87.48%	1014	98.72%	98.72%
	"2011"	"2011"	"Utah"	"49"	34	0.01%	1.21	2814784	25	25	100.00%	24	100.00%	100.00%
	"2011"	"2011"	"Vermont"	"50"	8	0.00%	1.28	626320	5	6	83.33%	6	100.00%	100.00%
	"2011"	"2011"	"Virginia"	"51"	221	0.07%	2.73	8105850	169	190	88.95%	175	99.43%	99.43%
	"2011"	"2011"	"Washington"	"53"	199	0.06%	2.92	6821481	132	155	85.16%	160	98.75%	98.75%
	"2011"	"2011"	"West Virginia"	"54"	13	0.00%	0.70	1855184	9	10	90.00%	13	92.31%	92.31%
	"2011"	"2011"	"Wisconsin"	"55"	70	0.02%	1.23	5708785	55	63	87.30%	61	100.00%	100.00%
	"2011"	"2011"	"Wyoming"	"56"	4	0.00%	0.71	567329	2	4	50.00%	4	100.00%	100.00%
"Total"	"2011"	"2011"			10509	3.16%	3.37	311582564	7567	8499	89.03%	8086	98.06%	98.17%
	"2010"	"2010"	"Alabama"	"01"	146	0.04%	3.05	4785570	107	117	91.45%	117	99.15%	99.15%
	"2010"	"2010"	"Alaska"	"02"	57	0.02%	7.98	713868	46	49	93.88%	52	100.00%	100.00%
	"2010"	"2010"	"Arizona"	"04"	282	0.08%	4.40	6408790	187	216	86.57%	203	98.52%	98.52%
	"2010"	"2010"	"Arkansas"	"05"	78	0.02%	2.67	2922280	60	69	86.96%	56	100.00%	100.00%
	"2010"	"2010"	"California"	"06"	2326	0.70%	6.23	37333601	1671	1899	87.99%	1855	98.60%	98.60%
	"2010"	"2010"	"Colorado"	"08"	71	0.02%	1.41	5048196	49	53	92.45%	51	100.00%	100.00%
	"2010"	"2010"	"Connecticut"	"09"	85	0.03%	2.37	3579210	62	67	92.54%	77	98.70%	98.70%
	"2010"	"2010"	"Delaware"	"10"	20	0.01%	2.22	899711	13	13	100.00%	15	93.33%	93.33%
	"2010"	"2010"	"District of Columbia"	"11"	43	0.01%	7.11	605125	27	31	87.10%	31	96.77%	96.77%
	"2010"	"2010"	"Florida"	"12"	833	0.25%	4.42	18846054	670	705	95.04%	634	95.27%	95.27%
	"2010"	"2010"	"Georgia"	"13"	411	0.12%	4.23	9713248	296	330	89.70%	303	98.35%	98.35%
	"2010"	"2010"	"Hawaii"	"15"	115	0.03%	8.43	1363731	99	104	95.19%	81	97.53%	97.53%
	"2010"	"2010"	"Idaho"	"16"	15	0.00%	0.95	1570718	12	14	85.71%	11	100.00%	100.00%
	"2010"	"2010"	"Illinois"	"17"	372	0.11%	2.90	12839695	263	301	87.38%	277	99.28%	99.28%
	"2010"	"2010"	"Indiana"	"18"	90	0.03%	1.39	6489965	75	80	93.75%	63	96.83%	96.83%
	"2010"	"2010"	"Iowa"	"19"	48	0.01%	1.57	3050314	37	39	94.87%	28	96.43%	96.43%
	"2010"	"2010"	"Kansas"	"20"	46	0.01%	1.61	2858910	36	36	100.00%	40	100.00%	100.00%
	"2010"	"2010"	"Kentucky"	"21"	91	0.03%	2.09	4347698	65	73	89.04%	76	96.05%	96.05%
	"2010"	"2010"	"Louisiana"	"22"	200	0.06%	4.40	4545392	138	171	80.70%	155	89.68%	89.68%
	"2010"	"2010"	"Maine"	"23"	8	0.00%	0.60	1327366	6	6	100.00%	4	100.00%	100.00%
	"2010"	"2010"	"Maryland"	"24"	220	0.07%	3.80	5787193	164	179	91.62%	162	99.38%	99.38%
	"2010"	"2010"	"Massachusetts"	"25"	222	0.07%	3.38	6563263	157	187	83.96%	172	98.84%	98.84%
	"2010"	"2010"	"Michigan"	"26"	184	0.06%	1.86	9876149	132	148	89.19%	131	95.42%	95.42%
	"2010"	"2010"	"Minnesota"	"27"	135	0.04%	2.54	5310337	105	116	90.52%	109	100.00%	100.00%
	"2010"	"2010"	"Mississippi"	"28"	116	0.03%	3.91	2970047	94	101	93.07%	82	100.00%	100.00%
	"2010"	"2010"	"Missouri"	"29"	107	0.03%	1.78	5996063	82	95	86.32%	76	90.79%	92.11%
	"2010"	"2010"	"Montana"	"30"	6	0.00%	0.61	990527	6	6	100.00%	5	100.00%	100.00%
	"2010"	"2010"	"Nebraska"	"31"	27	0.01%	1.48	1829838	22	24	91.67%	14	100.00%	100.00%
	"2010"	"2010"	"Nevada"	"32"	114	0.03%	4.22	2703230	89	100	89.00%	74	100.00%	100.00%
	"2010"	"2010"	"New Hampshire"	"33"	10	0.00%	0.76	1316614	7	8	87.50%	8	100.00%	100.00%
	"2010"	"2010"	"New Jersey"	"34"	405	0.12%	4.60	8802707	302	325	92.92%	315	98.41%	98.73%
	"2010"	"2010"	"New Mexico"	"35"	50	0.02%	2.42	2064982	27	29	93.10%	44	100.00%	100.00%
	"2010"	"2010"	"New York"	"36"	949	0.29%	4.89	19398228	744	806	92.31%	677	98.23%	98.52%
	"2010"	"2010"	"North Carolina"	"37"	296	0.09%	3.10	9559533	238	247	96.36%	215	98.14%	98.60%
	"2010"	"2010"	"North Dakota"	"38"	9	0.00%	1.33	674344	6	8	75.00%	7	100.00%	100.00%
	"2010"	"2010"	"Ohio"	"39"	190	0.06%	1.65	11545435	134	150	89.33%	143	100.00%	100.00%
	"2010"	"2010"	"Oklahoma"	"40"	86	0.03%	2.29	3759263	65	69	94.20%	58	93.10%	93.10%
	"2010"	"2010"	"Oregon"	"41"	87	0.03%	2.27	3837208	70	71	98.59%	60	100.00%	100.00%
	"2010"	"2010"	"Pennsylvania"	"42"	238	0.07%	1.87	12710472	157	181	86.74%	192	97.40%	97.40%
	"2010"	"2010"	"Rhode Island"	"44"	26	0.01%	2.47	1052669	15	22	68.18%	19	100.00%	100.00%
	"2010"	"2010"	"South Carolina"	"45"	153	0.05%	3.30	4636361	117	125	93.60%	112	91.96%	91.96%
	"2010"	"2010"	"South Dakota"	"46"	15	0.00%	1.84	816211	11	13	84.62%	11	100.00%	100.00%
	"2010"	"2010"	"Tennessee"	"47"	193	0.06%	3.04	6356683	136	146	93.15%	135	100.00%	100.00%
	"2010"	"2010"	"Texas"	"48"	1380	0.42%	5.47	25245178	929	1091	85.15%	1014	97.93%	98.13%
	"2010"	"2010"	"Utah"	"49"	20	0.01%	0.72	2774424	13	13	100.00%	18	100.00%	100.00%
	"2010"	"2010"	"Vermont"	"50"	5	0.00%	0.80	625793	5	5	100.00%	4	100.00%	100.00%
	"2010"	"2010"	"Virginia"	"51"	268	0.08%	3.34	8024417	209	235	88.94%	216	99.54%	99.54%
	"2010"	"2010"	"Washington"	"53"	239	0.07%	3.54	6742256	171	194	88.14%	197	99.49%	99.49%
	"2010"	"2010"	"West Virginia"	"54"	15	0.00%	0.81	1854146	12	12	100.00%	12	100.00%	100.00%
	"2010"	"2010"	"Wisconsin"	"55"	55	0.02%	0.97	5689060	37	41	90.24%	46	100.00%	100.00%
	"2010"	"2010"	"Wyoming"	"56"	7	0.00%	1.24	564222	3	6	50.00%	3	100.00%	100.00%
"Total"	"2010"	"2010"			11164	3.36%	3.61	309326295	8178	9126	89.61%	8460	97.97%	98.05%
	"2009"	"2009"	"Alabama"	"01"	168	0.05%	3.53	4757938	133	141	94.33%	134	100.00%	100.00%
	"2009"	"2009"	"Alaska"	"02"	37	0.01%	5.29	698895	27	32	84.38%	31	100.00%	100.00%
	"2009"	"2009"	"Arizona"	"04"	232	0.07%	3.66	6343154	144	173	83.24%	181	98.34%	98.34%
	"2009"	"2009"	"Arkansas"	"05"	82	0.02%	2.83	2896843	50	58	86.21%	69	97.10%	97.10%
	"2009"	"2009"	"California"	"06"	2467	0.74%	6.67	36961229	1754	2081	84.29%	1963	97.76%	97.76%
	"2009"	"2009"	"Colorado"	"08"	85	0.03%	1.71	4972195	62	65	95.38%	63	100.00%	100.00%
